[2025-08-20T09:33:56.822+0530][gc,heap     ] GC(5) Survivor regions: 1->2(2)
[2025-08-20T09:33:56.822+0530][gc,heap     ] GC(5) Old regions: 10->10
[2025-08-20T09:33:56.822+0530][gc,heap     ] GC(5) Humongous regions: 52->31
[2025-08-20T09:33:56.822+0530][gc,metaspace] GC(5) Metaspace: 66518K(67200K)->66518K(67200K) NonClass: 58914K(59264K)->58914K(59264K) Class: 7604K(7936K)->7604K(7936K)
[2025-08-20T09:33:56.822+0530][gc          ] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 2249M->1353M(6144M) 6.773ms
[2025-08-20T09:33:56.822+0530][gc,cpu      ] GC(5) User=0.08s Sys=0.00s Real=0.01s
[2025-08-20T09:33:58.663+0530][gc,start    ] GC(6) Pause Young (Normal) (G1 Evacuation Pause)
[2025-08-20T09:33:58.663+0530][gc,task     ] GC(6) Using 10 workers of 10 for evacuation
[2025-08-20T09:33:58.665+0530][gc,phases   ] GC(6)   Pre Evacuate Collection Set: 0.2ms
[2025-08-20T09:33:58.665+0530][gc,phases   ] GC(6)   Merge Heap Roots: 0.1ms
[2025-08-20T09:33:58.665+0530][gc,phases   ] GC(6)   Evacuate Collection Set: 1.1ms
[2025-08-20T09:33:58.665+0530][gc,phases   ] GC(6)   Post Evacuate Collection Set: 0.9ms
[2025-08-20T09:33:58.665+0530][gc,phases   ] GC(6)   Other: 0.1ms
[2025-08-20T09:33:58.665+0530][gc,heap     ] GC(6) Eden regions: 7->0(8)
[2025-08-20T09:33:58.665+0530][gc,heap     ] GC(6) Survivor regions: 2->1(2)
[2025-08-20T09:33:58.665+0530][gc,heap     ] GC(6) Old regions: 10->10
[2025-08-20T09:33:58.665+0530][gc,heap     ] GC(6) Humongous regions: 61->36
[2025-08-20T09:33:58.665+0530][gc,metaspace] GC(6) Metaspace: 66534K(67200K)->66534K(67200K) NonClass: 58928K(59264K)->58928K(59264K) Class: 7606K(7936K)->7606K(7936K)
[2025-08-20T09:33:58.665+0530][gc          ] GC(6) Pause Young (Normal) (G1 Evacuation Pause) 2537M->1466M(6144M) 2.824ms
[2025-08-20T09:33:58.665+0530][gc,cpu      ] GC(6) User=0.12s Sys=0.00s Real=0.00s
[2025-08-20T09:33:59.705+0530][gc,start    ] GC(7) Pause Young (Normal) (G1 Evacuation Pause)
[2025-08-20T09:33:59.706+0530][gc,task     ] GC(7) Using 10 workers of 10 for evacuation
[2025-08-20T09:33:59.707+0530][gc,phases   ] GC(7)   Pre Evacuate Collection Set: 0.2ms
[2025-08-20T09:33:59.707+0530][gc,phases   ] GC(7)   Merge Heap Roots: 0.1ms
[2025-08-20T09:33:59.707+0530][gc,phases   ] GC(7)   Evacuate Collection Set: 0.9ms
[2025-08-20T09:33:59.707+0530][gc,phases   ] GC(7)   Post Evacuate Collection Set: 0.5ms
[2025-08-20T09:33:59.708+0530][gc,phases   ] GC(7)   Other: 0.1ms
[2025-08-20T09:33:59.708+0530][gc,heap     ] GC(7) Eden regions: 9->0(14)
[2025-08-20T09:33:59.708+0530][gc,heap     ] GC(7) Survivor regions: 1->1(2)
[2025-08-20T09:33:59.708+0530][gc,heap     ] GC(7) Old regions: 10->10
[2025-08-20T09:33:59.708+0530][gc,heap     ] GC(7) Humongous regions: 36->36
[2025-08-20T09:33:59.708+0530][gc,metaspace] GC(7) Metaspace: 66538K(67200K)->66538K(67200K) NonClass: 58931K(59264K)->58931K(59264K) Class: 7607K(7936K)->7607K(7936K)
[2025-08-20T09:33:59.708+0530][gc          ] GC(7) Pause Young (Normal) (G1 Evacuation Pause) 1754M->1466M(6144M) 2.274ms
[2025-08-20T09:33:59.708+0530][gc,cpu      ] GC(7) User=0.00s Sys=0.00s Real=0.00s
[2025-08-20T09:34:01.581+0530][gc,start    ] GC(8) Pause Young (Normal) (G1 Evacuation Pause)
[2025-08-20T09:34:01.581+0530][gc,task     ] GC(8) Using 10 workers of 10 for evacuation
[2025-08-20T09:34:01.582+0530][gc,phases   ] GC(8)   Pre Evacuate Collection Set: 0.2ms
[2025-08-20T09:34:01.582+0530][gc,phases   ] GC(8)   Merge Heap Roots: 0.1ms
[2025-08-20T09:34:01.582+0530][gc,phases   ] GC(8)   Evacuate Collection Set: 0.9ms
[2025-08-20T09:34:01.582+0530][gc,phases   ] GC(8)   Post Evacuate Collection Set: 0.7ms
[2025-08-20T09:34:01.582+0530][gc,phases   ] GC(8)   Other: 0.1ms
[2025-08-20T09:34:01.582+0530][gc,heap     ] GC(8) Eden regions: 15->0(114)
[2025-08-20T09:34:01.582+0530][gc,heap     ] GC(8) Survivor regions: 1->1(2)
[2025-08-20T09:34:01.582+0530][gc,heap     ] GC(8) Old regions: 10->10
[2025-08-20T09:34:01.582+0530][gc,heap     ] GC(8) Humongous regions: 36->36
[2025-08-20T09:34:01.582+0530][gc,metaspace] GC(8) Metaspace: 66538K(67200K)->66538K(67200K) NonClass: 58931K(59264K)->58931K(59264K) Class: 7607K(7936K)->7607K(7936K)
[2025-08-20T09:34:01.583+0530][gc          ] GC(8) Pause Young (Normal) (G1 Evacuation Pause) 1946M->1466M(6144M) 2.412ms
[2025-08-20T09:34:01.583+0530][gc,cpu      ] GC(8) User=0.00s Sys=0.00s Real=0.00s
[2025-08-20T09:35:39.217+0530][gc,start    ] GC(9) Pause Young (Normal) (G1 Evacuation Pause)
[2025-08-20T09:35:39.217+0530][gc,task     ] GC(9) Using 10 workers of 10 for evacuation
[2025-08-20T09:35:39.333+0530][gc,phases   ] GC(9)   Pre Evacuate Collection Set: 0.5ms
[2025-08-20T09:35:39.333+0530][gc,phases   ] GC(9)   Merge Heap Roots: 0.2ms
[2025-08-20T09:35:39.333+0530][gc,phases   ] GC(9)   Evacuate Collection Set: 99.8ms
[2025-08-20T09:35:39.333+0530][gc,phases   ] GC(9)   Post Evacuate Collection Set: 14.9ms
[2025-08-20T09:35:39.333+0530][gc,phases   ] GC(9)   Other: 0.2ms
[2025-08-20T09:35:39.333+0530][gc,heap     ] GC(9) Eden regions: 114->0(28)
[2025-08-20T09:35:39.333+0530][gc,heap     ] GC(9) Survivor regions: 1->11(15)
[2025-08-20T09:35:39.333+0530][gc,heap     ] GC(9) Old regions: 10->10
[2025-08-20T09:35:39.333+0530][gc,heap     ] GC(9) Humongous regions: 36->11
[2025-08-20T09:35:39.333+0530][gc,metaspace] GC(9) Metaspace: 77642K(78592K)->77642K(78592K) NonClass: 68441K(68992K)->68441K(68992K) Class: 9200K(9600K)->9200K(9600K)
[2025-08-20T09:35:39.333+0530][gc          ] GC(9) Pause Young (Normal) (G1 Evacuation Pause) 5114M->1005M(6144M) 116.470ms
[2025-08-20T09:35:39.333+0530][gc,cpu      ] GC(9) User=0.72s Sys=0.03s Real=0.12s
[2025-08-20T09:35:42.166+0530][gc,start    ] GC(10) Pause Young (Normal) (G1 Evacuation Pause)
[2025-08-20T09:35:42.166+0530][gc,task     ] GC(10) Using 10 workers of 10 for evacuation
[2025-08-20T09:35:42.248+0530][gc,phases   ] GC(10)   Pre Evacuate Collection Set: 0.3ms
[2025-08-20T09:35:42.248+0530][gc,phases   ] GC(10)   Merge Heap Roots: 0.1ms
[2025-08-20T09:35:42.248+0530][gc,phases   ] GC(10)   Evacuate Collection Set: 71.5ms
[2025-08-20T09:35:42.248+0530][gc,phases   ] GC(10)   Post Evacuate Collection Set: 9.2ms
[2025-08-20T09:35:42.249+0530][gc,phases   ] GC(10)   Other: 0.2ms
[2025-08-20T09:35:42.249+0530][gc,heap     ] GC(10) Eden regions: 28->0(33)
[2025-08-20T09:35:42.249+0530][gc,heap     ] GC(10) Survivor regions: 11->2(5)
[2025-08-20T09:35:42.249+0530][gc,heap     ] GC(10) Old regions: 10->19
[2025-08-20T09:35:42.249+0530][gc,heap     ] GC(10) Humongous regions: 11->11
[2025-08-20T09:35:42.249+0530][gc,metaspace] GC(10) Metaspace: 77727K(78592K)->77727K(78592K) NonClass: 68512K(68992K)->68512K(68992K) Class: 9214K(9600K)->9214K(9600K)
[2025-08-20T09:35:42.249+0530][gc          ] GC(10) Pause Young (Normal) (G1 Evacuation Pause) 1901M->1024M(6144M) 82.280ms
[2025-08-20T09:35:42.249+0530][gc,cpu      ] GC(10) User=0.61s Sys=0.08s Real=0.08s
[2025-08-20T09:35:42.998+0530][gc,start    ] GC(11) Pause Young (Normal) (G1 Evacuation Pause)
[2025-08-20T09:35:42.998+0530][gc,task     ] GC(11) Using 10 workers of 10 for evacuation
[2025-08-20T09:35:43.026+0530][gc,phases   ] GC(11)   Pre Evacuate Collection Set: 0.4ms
[2025-08-20T09:35:43.026+0530][gc,phases   ] GC(11)   Merge Heap Roots: 0.6ms
[2025-08-20T09:35:43.026+0530][gc,phases   ] GC(11)   Evacuate Collection Set: 22.4ms
[2025-08-20T09:35:43.026+0530][gc,phases   ] GC(11)   Post Evacuate Collection Set: 4.2ms
